ticket_id,ticket_text,department
TCK-100592,My salary has not been received.,hr
TCK-100127,Can you help? My card has the wrong tax amount.,billing
TCK-100117,"need help, I have a question about charge.",billing
TCK-100474,Can you help? The upload feature shows a blank screen.,technical
TCK-100694,I need clarification about personal details.,hr
TCK-100058,The fee has not generated a receipt.,billing
TCK-100864,I have a question about plans. thx,general
TCK-100913,I have a question about company.,general
TCK-100370,Can you help? The api request is not loading.,technical
TCK-100269,can you help? the api request times out.,technical
TCK-100047,"please, i am contacting support about credit related to my recent purchase i would appreciate your help",billing
TCK-100350,I have a question about integration.,technical
TCK-100196,Can someone investigate subscription related to my order I need assistance.,billing
TCK-101000,Please explain products related to your products and let me know what I should do.,general
TCK-100835,"hi team, Can you tell me about product information related to the mobile application as soon as possible.",general
TCK-100737,Can you help? My employee record requires HR assistance.,hr
TCK-100264,I need support for the dashboard; it shows a blank screen.,technical
TCK-100444,I need support for API.,technical
TCK-100676,My parental leave has not been received.,hr
TCK-100305,Can someone fix website related to the application as soon as possible.,technical
TCK-100342,The login keeps failing.,technical
TCK-100967,I am having trouble with the documentation.,general
TCK-100150,"hi team, I have a question about renewal.",billing
TCK-100125,Can you help? The cancelled order has the wrong tax amount.,billing
TCK-100787,Can you help? Your services where can I get more details.,general
TCK-100051,"thanks, Can someone investigate the monthly plan; it was charged incorrectly.",billing
TCK-100354,Please troubleshoot the server; it stopped working after the update.,technical
TCK-100928,"ASAP, My contact information how does this work.",general
TCK-100143,"thanks, Can you help? My card has the wrong tax amount.",billing
TCK-100471,The file upload returns a 500 error.,technical
TCK-100400,My authentication crashes unexpectedly.,technical
TCK-100626,I am having trouble with my employee profile. thanks,hr
TCK-100321,"kindly check, Please troubleshoot dashboard related to the login page please.",technical
TCK-100020,My billing was processed twice.,billing
TCK-100810,I would like to know about services related to the support service — please advise.,general
TCK-100791,"urgent, My business hours how does this work.",general
TCK-100809,"urgent, I have a question about available options.",general
TCK-100408,I need support for the mobile app; it is not loading.,technical
TCK-100538,the salary has not been received. pls,hr
TCK-100621,I need HR assistance with salary.,hr
TCK-100039,The invoice was processed twice.,billing
TCK-100176,The transaction was charged twice.,billing
TCK-100246,I am having trouble with my subscription.,billing
TCK-100829,The user guide where can I find this.,general
TCK-100668,I am having trouble with my personal information. thanks,hr
TCK-100755,"need help, Please explain contact information.",general
TCK-100859,Could you provide information about your company; it can you tell me more.,general
TCK-100155,I need assistance with the monthly plan; it was charged after cancellation.,billing
TCK-100288,i have a question about website.,technical
TCK-100603,Can HR help with salary statement related to my personal information,hr
TCK-100570,Can you help? My hr request has not been received.,hr
TCK-100744,"urgent, Please help me with my employee profile; it is not visible in the portal. thanks",hr
TCK-100018,I have an issue with fee related to my subscription I would appreciate your help.,billing
TCK-100128,i have a question about invoice.,billing
TCK-100323,Please troubleshoot file upload.,technical
TCK-100256,The API does not respond.,technical
TCK-100658,I have a question about personal details thx,hr
TCK-100965,The services can you explain this,general
TCK-100191,"hello support, I have an issue with duplicate charge related to the payment and let me know what I should do.",billing
TCK-100116,My payment has not been refunded,billing
TCK-100617,Could you check employment verification related to my employment details as soon as possible.,hr
TCK-100607,I am contacting HR regarding salary,hr
TCK-100181,Please look into subscription. help needed,billing
TCK-100302,There is a problem with dashboard related to the server — please advise,technical
TCK-100760,Can you help? Your products can someone help me understand this.,general
TCK-100713,Can you help? My salary account has not been received.,hr
TCK-100724,Can you help? My personal information has not been processed.,hr
TCK-100686,"ASAP, Could you check my attendance record; it needs clarification.",hr
TCK-100980,Can you help? The available plans what options are available.,general
TCK-100518,Could you check employee benefits.,hr
TCK-100985,I need more details about business hours. help needed,general
TCK-100046,I need help regarding billing related to the monthly plan for my account.,billing
TCK-100910,"kindly check, I am having trouble with your company",general
TCK-100158,I have a question about subscription.,billing
TCK-100852,I need more details about the mobile application; it can you tell me more.,general
TCK-100172,I need help regarding card payment.,billing
TCK-100017,The transaction has not been refunded.,billing
TCK-100512,My HR policy needs to be updated.,hr
TCK-100049,Can someone investigate my recent purchase; it was processed twice.,billing
TCK-100972,Can you help? Your services can you tell me more.,general
TCK-100941,The services what options are available.,general
TCK-100516,I have a question about salary statement.,hr
TCK-100953,My FAQ can you provide more information.,general
TCK-100481,I have a question about application,technical
TCK-100284,I need technical help with file upload related to the login page I need assistance,technical
TCK-100719,My personal details has not been processed.,hr
TCK-100878,My FAQ can you tell me more.,general
TCK-100226,Can you help? The payment was declined.,billing
TCK-100027,"urgent, Can someone investigate receipt related to my recent purchase please.",billing
TCK-100955,Could you provide information about company related to the user guide as soon as possible.,general
TCK-100438,"thanks, the verification code rejects my credentials.",technical
TCK-100952,"urgent, The business hours how does this work.",general
TCK-100365,Can you help? The mobile app rejects my credentials.,technical
TCK-100230,Please help me with my card; it has an additional fee.,billing
TCK-100038,The subscription has the wrong tax amount.,billing
TCK-100966,Please explain the mobile application; it can you explain this.,general
TCK-100375,Can you help? The integration rejects my credentials.,technical
TCK-100470,Can you help? The login page keeps failing.,technical
TCK-100968,I need more details about user guide,general
TCK-100851,"hello support, I have a question about the mobile application; it is this available.",general
TCK-100705,I am contacting HR regarding my employee profile; it needs to be submitted.,hr
TCK-100842,"ASAP, My service information can you provide more information",general
TCK-100195,I have a question about billing.,billing
TCK-100855,I have a question about company,general
TCK-100865,"please, please explain your products; it can you tell me more.",general
TCK-100504,"please, The salary has not been processed",hr
TCK-100970,The contact information can you explain this.,general
TCK-100831,"ASAP, Can you tell me about the documentation; it can you explain this.",general
TCK-100580,I need clarification about payslip.,hr
TCK-100969,"thanks, The product information can you explain this.",general
TCK-100163,My charge was charged after cancellation.,billing
TCK-100909,Please explain the support service; it can you provide more information.,general
TCK-100153,Could you check renewal related to the monthly plan please.,billing
TCK-100802,I would like to know about support related to the available plans as soon as possible.,general
TCK-100994,i have a question about user guide.,general
TCK-100756,Can you help? The mobile application can someone help me understand this.,general
TCK-100112,The tax was charged twice.,billing
TCK-100227,"hello support, I have an issue with card payment.",billing
TCK-100689,I have a question about leave. thanks,hr
TCK-100104,Could you check my account; it has not been refunded.,billing
TCK-100422,"thanks, I am having trouble with the API request.",technical
TCK-100420,Can someone fix the integration; it returns a 500 error.,technical
TCK-100751,"hi team, I have a question about services related to your services I need assistance.",general
TCK-100587,The bank details needs to be updated.,hr
TCK-100781,"hello support, Can you help? The documentation where can I get more details",general
TCK-100673,I am contacting HR regarding my employee record; it needs to be submitted.,hr
TCK-100120,"hello support, My charge was charged after cancellation.",billing
TCK-100054,"ASAP, Can someone investigate the monthly plan; it was charged after cancellation.",billing
TCK-100152,"ASAP, I am contacting support about receipt related to my card as soon as possible",billing
TCK-100404,The password reset rejects my credentials.,technical
TCK-100946,My plans can you tell me more.,general
TCK-100208,My payment has the wrong tax amount.,billing
TCK-100659,"urgent, My emergency contact has not been received.",hr
TCK-100844,"kindly check, I need more details about products.",general
TCK-100763,Can you help? Your website what options are available.,general
TCK-100009,My failed payment has not been refunded.,billing
TCK-100808,I have a question about user guide.,general
TCK-100037,I am contacting support about my card; it was declined.,billing
TCK-100453,I need support for my account; it is not loading.,technical
TCK-100652,I am having trouble with my benefits.,hr
TCK-100254,I need support for server.,technical
TCK-100304,Please look into the API request; it keeps failing.,technical
TCK-100747,My salary statement needs clarification.,hr
TCK-100572,The benefits enrollment needs to be submitted,hr
TCK-100624,I am having trouble with my employee profile.,hr
TCK-100733,My employment letter needs to be updated.,hr
TCK-100892,"hi team, Can you tell me about the documentation; it where can I find this.",general
TCK-100263,Please look into the server; it freezes after login.,technical
TCK-100611,"ASAP, The HR policy is showing an incorrect value.",hr
TCK-100298,Can you help? The api request freezes after login.,technical
TCK-100415,My checkout page times out.,technical
TCK-100151,Can you help? The transaction was charged after cancellation.,billing
TCK-100789,"thanks, The available options can you provide more information.",general
TCK-100641,"urgent, I have an employee query about emergency contact.",hr
TCK-100890,"urgent, Can you help? Your services where can I get more details.",general
TCK-100551,I need clarification about emergency contact.,hr
TCK-100887,I would like to know about the support service; it can you provide more information.,general
TCK-100489,Can you help? The server stopped working after the update.,technical
TCK-100148,I have an issue with fee related to my subscription as soon as possible.,billing
TCK-100147,"ASAP, Can you help? My subscription has the wrong tax amount.",billing
TCK-100721,I have an employee query about my leave balance; it needs to be updated.,hr
TCK-100932,"asap, i am having trouble with your company.",general
TCK-100740,I am contacting HR regarding employment letter related to my salary account,hr
TCK-100660,I am contacting HR regarding my attendance record; it needs clarification.,hr
TCK-100349,Please troubleshoot my account; it times out.,technical
TCK-100464,Can someone fix website.,technical
TCK-100326,I have a question about mobile app. thanks,technical
TCK-100187,Please look into failed payment related to the monthly plan — please advise.,billing
TCK-100124,I need assistance with charge related to the monthly plan for my account thanks,billing
TCK-100854,Could you help me understand the support service; it where can I find this.,general
TCK-100609,"kindly check, The benefits enrollment is showing an incorrect value.",hr
TCK-100144,Could you check card payment.,billing
TCK-100959,"thanks, I am having trouble with the mobile application.",general
TCK-100198,The renewal has not generated a receipt.,billing
TCK-100610,"need help, I have a question about personal details",hr
TCK-100280,Can you help? The dashboard keeps failing.,technical
TCK-100294,Can you help? The integration is not loading.,technical
TCK-100401,"please, Can you help? The server does not respond.",technical
TCK-100123,Can you help? My order was charged twice.,billing
TCK-100184,"kindly check, Please look into my recent purchase; it was declined",billing
TCK-100203,I need help regarding credit related to my account and let me know what I should do.,billing
TCK-100439,Please look into authentication related to the server and let me know what I should do,technical
TCK-100247,Can you help? My order has not been refunded.,billing
TCK-100416,I am having trouble with the website.,technical
TCK-100933,Can you tell me about mobile application related to your products I would appreciate your help.,general
TCK-100766,The contact information where can I find this.,general
TCK-100907,"ASAP, I need more details about FAQ related to the documentation please.",general
TCK-100836,could you provide information about company.,general
TCK-100888,I am having trouble with your website.,general
TCK-100130,Can you help? My subscription has the wrong tax amount.,billing
TCK-100638,Please help me with my benefits; it is not visible in the portal.,hr
TCK-100403,Can you help? The login page stopped working after the update.,technical
TCK-100785,My user guide how does this work,general
TCK-100771,"urgent, The available options what options are available.",general
TCK-100736,My employment verification has not been processed,hr
TCK-100914,Please explain services related to the available plans,general
TCK-100220,I have an issue with credit related to the monthly plan and let me know what I should do.,billing
TCK-100642,the payslip has not been processed.,hr
TCK-100916,Can you help? Your products can you tell me more.,general
TCK-100753,I need more details about available options related to your products and let me know what I should do.,general
TCK-100807,The FAQ is this available.,general
TCK-100920,"need help, I would like to know about FAQ.",general
TCK-100625,My emergency contact needs approval.,hr
TCK-100875,"hello support, I am having trouble with your company",general
TCK-100761,Where can I find information about contact information.,general
TCK-100387,My account access keeps failing,technical
TCK-100973,Where can I find information about user guide.,general
TCK-100510,I have an employee query about my payslip; it requires HR assistance.,hr
TCK-100268,The mobile app does not respond.,technical
TCK-100820,"urgent, Can you tell me about support related to your company — please advise.",general
TCK-100442,I am having trouble with the integration,technical
TCK-100497,"asap, i need technical help with application related to my account please.",technical
TCK-100113,I need help regarding duplicate charge.,billing
TCK-100692,Can you help? My employee record needs to be corrected.,hr
TCK-100233,Please help me with fee.,billing
TCK-100870,could you help me understand user guide related to the product catalog as soon as possible.,general
TCK-100608,I have a question about bank details,hr
TCK-100672,Please help me with my salary account; it needs clarification. help needed,hr
TCK-100374,"hello support, Could you investigate mobile app related to the integration I would appreciate your help.",technical
TCK-100982,The products how does this work.,general
TCK-100843,Where can I find information about the available plans; it what options are available.,general
TCK-100234,Please help me with tax related to the cancelled order and let me know what I should do.,billing
TCK-100786,The FAQ can someone help me understand this.,general
TCK-100677,"thanks, I have a question about attendance",hr
TCK-100318,"need help, The dashboard stopped working after the update.",technical
TCK-100649,I am contacting HR regarding my employment details; it is showing an incorrect value. thx,hr
TCK-100411,I am facing an issue with the application; it times out.,technical
TCK-100899,My user guide where can I find this.,general
TCK-100710,the employment letter needs to be submitted.,hr
TCK-100359,Can someone fix server related to the upload feature — please advise.,technical
TCK-100259,Can you help? The website rejects my credentials.,technical
TCK-100745,Can you help? My personal information needs clarification.,hr
TCK-100628,I am having trouble with my HR request.,hr
TCK-100633,I need HR assistance with my employee record; it requires HR assistance.,hr
TCK-100283,"please, Could you investigate my account; it shows a blank screen.",technical
TCK-100377,Can you help? My account keeps failing.,technical
TCK-100385,The password reset crashes unexpectedly. thanks,technical
TCK-100225,I need assistance with card payment. thx,billing
TCK-100954,I have a question about contact information.,general
TCK-100815,The services what options are available,general
TCK-100473,can someone fix integration.,technical
TCK-100348,Can you help? The upload feature times out,technical
TCK-100506,The parental leave is showing an incorrect value.,hr
TCK-100640,Please help me with salary related to my benefits Please advise.,hr
TCK-100988,The business hours can you tell me more,general
TCK-100929,"please, The support can you provide more information.",general
TCK-100906,"urgent, I would like to know about support related to your company — please advise.",general
TCK-100620,"urgent, the employment verification needs to be submitted.",hr
TCK-100856,I am having trouble with the product catalog.,general
TCK-100804,"need help, Can you tell me about available options related to the support service and let me know what I should do. thx",general
TCK-100646,The employment verification needs to be submitted,hr
TCK-100847,"urgent, Could you provide information about business hours related to the documentation I would appreciate your help.",general
TCK-100557,I am contacting HR regarding personal details.,hr
TCK-100958,the mobile application what options are available.,general
TCK-100578,The benefits enrollment has not been received. thx,hr
TCK-100796,"hi team, Can you help? The documentation is this available.",general
TCK-100086,I have an issue with receipt related to the payment for my account.,billing
TCK-100243,I need assistance with credit.,billing
TCK-100699,"ASAP, I need clarification about my HR request; it needs to be corrected.",hr
TCK-100160,"urgent, The payment has the wrong tax amount.",billing
TCK-100525,I need clarification about personal details related to my leave balance Please advise.,hr
TCK-100036,can someone investigate my order; it was charged incorrectly.,billing
TCK-100541,My personal details needs to be submitted.,hr
TCK-100171,I have a question about payment.,billing
TCK-100655,"hi team, I am contacting HR regarding bank details related to my HR request Please advise.",hr
TCK-100891,The available options can you explain this.,general
TCK-100858,My available options can you explain this.,general
TCK-100848,"urgent, Can you tell me about the support service; it what options are available.",general
TCK-100945,Can you tell me about product information,general
TCK-100734,My HR policy needs to be corrected.,hr
TCK-100096,"hello support, I am having trouble with my recent purchase.",billing
TCK-100564,I have an employee query about attendance related to my employee record please.,hr
TCK-100241,Please look into my subscription; it has not generated a receipt.,billing
TCK-100743,I am having trouble with my leave balance. pls,hr
TCK-100575,My employment letter needs clarification.,hr
TCK-100691,Please help me with my leave balance; it needs approval.,hr
TCK-100461,"hi team, My checkout page crashes unexpectedly.",technical
TCK-100554,Please look into employee benefits related to my employee profile I need assistance.,hr
TCK-100889,I have a question about product information.,general
TCK-100207,The credit has the wrong tax amount,billing
TCK-100393,My password reset is not loading.,technical
TCK-100795,I need more details about the mobile application; it can someone help me understand this.,general
TCK-100398,"kindly check, I have a question about API. help needed",technical
TCK-100767,Could you help me understand the product catalog; it can you tell me more.,general
TCK-100849,"thanks, Could you provide information about available options.",general
TCK-100218,I am having trouble with the cancelled order.,billing
TCK-100005,Please look into credit related to the transaction Please advise.,billing
TCK-100769,Can you help? The mobile application how does this work.,general
TCK-100643,i have a question about employee portal.,hr
TCK-100930,"hello support, I need more details about company.",general
TCK-100613,My salary statement needs approval.,hr
TCK-100739,I am contacting HR regarding my payslip; it is showing an incorrect value.,hr
TCK-100547,"please, I have a question about emergency contact.",hr
TCK-100726,"hello support, I am having trouble with my benefits",hr
TCK-100684,the parental leave has not been processed.,hr
TCK-100099,Please help me with duplicate charge.,billing
TCK-100805,"ASAP, Could you help me understand your products; it where can I get more details.",general
TCK-100728,I am contacting HR regarding my HR request; it needs to be submitted.,hr
TCK-100574,The emergency contact needs to be submitted.,hr
TCK-100407,"hi team, i have a question about password reset.",technical
TCK-100503,Could you check employment letter,hr
TCK-100048,The duplicate charge was declined.,billing
TCK-100033,i need help regarding card payment related to the monthly plan please. pls,billing
TCK-100780,"need help, the services can you explain this.",general
TCK-100840,Can you help? Your services can you provide more information.,general
TCK-100201,Please look into fee related to the cancelled order Can you help?,billing
TCK-100135,Please help me with the payment; it has not been refunded.,billing
TCK-100028,Can you help? My account was declined.,billing
TCK-100881,My support I would like more information,general
TCK-100231,I need assistance with my card; it has the wrong tax amount.,billing
TCK-100490,I need support for the website; it returns a 500 error.,technical
TCK-100773,Can you tell me about your products; it can you provide more information.,general
TCK-100379,i need technical help with verification code related to the mobile app and let me know what i should do.,technical
TCK-100289,I have a question about file upload.,technical
TCK-100419,Could you investigate the website; it shows a blank screen,technical
TCK-100675,Please help me with leave related to my attendance record as soon as possible.,hr
TCK-100392,I need support for integration.,technical
TCK-100593,"kindly check, Can you help? My benefits needs to be submitted.",hr
TCK-100499,"ASAP, Can someone fix password reset",technical
TCK-100139,The receipt was charged twice,billing
TCK-100063,Can you help? The transaction was charged incorrectly.,billing
TCK-100472,I am having trouble with the dashboard.,technical
TCK-100648,I need clarification about my salary account; it needs clarification.,hr
TCK-100129,"please, Could you check tax related to the payment — please advise.",billing
TCK-100977,The support how does this work.,general
TCK-100521,I need HR assistance with salary statement related to my HR request Can you help? thanks,hr
TCK-100839,I have a question about documentation,general
TCK-100963,I would like to know about your products; it what options are available.,general
TCK-100065,"kindly check, Please help me with my recent purchase; it was declined.",billing
TCK-100813,Can you help? The support service how does this work.,general
TCK-100015,Could you check fee related to the monthly plan I need assistance.,billing
TCK-100157,I am contacting support about the monthly plan; it has the wrong tax amount.,billing
TCK-100041,i am contacting support about fee,billing
TCK-100493,"ASAP, My API freezes after login.",technical
TCK-100380,I need support for mobile app.,technical
TCK-100188,"hello support, I am having trouble with the transaction.",billing
TCK-100764,"urgent, I have a question about company.",general
TCK-100217,My transaction was declined.,billing
TCK-100792,Could you help me understand products.,general
TCK-100053,My credit was charged twice.,billing
TCK-100879,The user guide can you tell me more,general
TCK-100338,"kindly check, The login freezes after login.",technical
TCK-100749,I have an employee query about HR policy related to my personal information for my account,hr
TCK-100720,"hello support, Can you help? My employee profile needs to be updated.",hr
TCK-100725,I am contacting HR regarding leave.,hr
TCK-100296,I need technical help with authentication,technical
TCK-100702,I am contacting HR regarding attendance related to my HR request I would appreciate your help.,hr
TCK-100252,I have a question about API.,technical
TCK-100727,My benefits enrollment needs to be corrected.,hr
TCK-100462,my mobile app times out.,technical
TCK-100456,Could you investigate website.,technical
TCK-100997,I have a question about documentation.,general
TCK-100816,Can you help? The user guide can you explain this pls,general
TCK-100863,The services how does this work.,general
TCK-100270,The dashboard stopped working after the update.,technical
TCK-100202,"hello support, My transaction was charged incorrectly.",billing
TCK-100162,my payment was charged incorrectly.,billing
TCK-100556,I am having trouble with my personal information.,hr
TCK-100730,Please look into emergency contact.,hr
TCK-100402,The server returns a 500 error.,technical
TCK-100703,I need HR assistance with my salary account; it has not been processed.,hr
TCK-100477,I am having trouble with the integration.,technical
TCK-100822,"hi team, I am having trouble with the support service. pls",general
TCK-100772,Can you help? The available plans can you provide more information.,general
TCK-100106,I need assistance with billing related to my invoice and let me know what I should do,billing
TCK-100566,"urgent, I am having trouble with my employee record.",hr
TCK-100390,I need support for dashboard related to my account for my account.,technical
TCK-100002,I am contacting support about my order; it has an additional fee.,billing
TCK-100938,Could you help me understand the support service; it how does this work,general
TCK-100983,My documentation can you tell me more.,general
TCK-100562,i have a question about bank details.,hr
TCK-100081,Can you help? The payment has not generated a receipt.,billing
TCK-100206,"ASAP, Can you help? The cancelled order was charged after cancellation.",billing
TCK-100035,I have an issue with duplicate charge.,billing
TCK-100776,"hi team, I have a question about features.",general
TCK-100509,i need clarification about leave,hr
TCK-100428,Can someone fix application.,technical
TCK-100455,Can you help? The upload feature crashes unexpectedly.,technical
TCK-100367,My authentication rejects my credentials.,technical
TCK-100092,I am having trouble with the payment.,billing
TCK-100340,Please troubleshoot the mobile app; it shows a blank screen.,technical
TCK-100898,I need more details about FAQ. thanks,general
TCK-100565,Could you check my employee profile; it needs to be updated.,hr
TCK-100346,I am having trouble with the login page.,technical
TCK-100777,Can you help? The user guide is this available.,general
TCK-100242,the credit is showing an unexpected amount.,billing
TCK-100014,The tax has not generated a receipt.,billing
TCK-100316,"please, My integration crashes unexpectedly.",technical
TCK-100601,I am having trouble with my attendance record,hr
TCK-100388,"thanks, Please look into checkout page.",technical
TCK-100274,There is a problem with the integration; it keeps failing,technical
TCK-100167,My billing was charged incorrectly.,billing
TCK-100841,i have a question about faq.,general
TCK-100993,The available options where can I get more details.,general
TCK-100647,My leave is showing an incorrect value.,hr
TCK-100819,"urgent, I have a question about business hours.",general
TCK-100485,My application does not respond.,technical
TCK-100981,I am having trouble with the support service.,general
TCK-100505,I am having trouble with my employment details.,hr
TCK-100832,I am having trouble with your products.,general
TCK-100244,"hello support, Can someone investigate my subscription; it was charged after cancellation.",billing
TCK-100567,Can you help? My personal information needs to be updated.,hr
TCK-100876,The product information I would like more information,general
TCK-100563,Can you help? My employment details is showing an incorrect value.,hr
TCK-100687,"hi team, Can you help? My employment details needs to be corrected.",hr
TCK-100190,The subscription was processed twice.,billing
TCK-100783,I have a question about user guide,general
TCK-100700,Please help me with my HR request; it needs approval.,hr
TCK-100476,"hi team, Please troubleshoot checkout page. help needed",technical
TCK-100682,My benefits enrollment has not been processed.,hr
TCK-100511,my parental leave needs to be submitted,hr
TCK-100059,"hello support, I am having trouble with the payment.",billing
TCK-100475,My mobile app freezes after login.,technical
TCK-100561,I have an employee query about employee benefits.,hr
TCK-100857,"thanks, The business hours can someone help me understand this",general
TCK-100748,I am having trouble with my salary account.,hr
TCK-100253,I need support for website related to my account please.,technical
TCK-100022,Can someone investigate my order; it was charged twice.,billing
TCK-100314,Could you investigate website related to the integration as soon as possible.,technical
TCK-100460,I need support for the upload feature; it freezes after login.,technical
TCK-100161,Can you help? My account has not generated a receipt help needed,billing
TCK-100277,"hi team, my api rejects my credentials",technical
TCK-100956,My features can you explain this.,general
TCK-100192,Can you help? The monthly plan is showing an unexpected amount.,billing
TCK-100386,"need help, The API freezes after login. thx",technical
TCK-100806,Can you tell me about the product catalog; it can you provide more information.,general
TCK-100414,The API rejects my credentials.,technical
TCK-100492,"need help, Could you investigate dashboard.",technical
TCK-100344,My verification code freezes after login.,technical
TCK-100770,I have a question about contact information,general
TCK-100309,There is a problem with verification code related to my account as soon as possible.,technical
TCK-100662,"hello support, The salary statement is not visible in the portal help needed",hr
TCK-100131,Can you help? My order has an additional fee,billing
TCK-100664,I need clarification about my employee record; it needs approval.,hr
TCK-100872,could you provide information about the mobile application; it can you explain this,general
TCK-100100,"please, I have a question about card payment.",billing
TCK-100373,Can someone fix mobile app related to the API request,technical
TCK-100088,Could you check my invoice; it was declined.,billing
TCK-100459,My server freezes after login,technical
TCK-100331,Can you help? The upload feature returns a 500 error. pls,technical
TCK-100215,The charge has the wrong tax amount.,billing
TCK-100467,I have a question about account access,technical
TCK-100122,Could you check failed payment related to my recent purchase I need assistance. help needed,billing
TCK-100615,I have a question about salary.,hr
TCK-100021,The refund was processed twice.,billing
TCK-100701,My bank details is not visible in the portal. thx,hr
TCK-100072,The fee was processed twice.,billing
TCK-100107,I have an issue with subscription. help needed,billing
TCK-100271,"hi team, There is a problem with application.",technical
TCK-100861,"urgent, I have a question about services.",general
TCK-100436,"thanks, I am having trouble with the application.",technical
TCK-100103,My billing has an additional fee.,billing
